Prompt,Response,Answer,Similarity
नर्मदा खोऱ्यात एकाग्र वसाहती आढळतात,नर्मदा खोऱ्या एकाग्र वसाहती आढळतात., नर्मदा खोऱ्यात एकवटलेल्या वसाहती आढळतात कारण नदीजवळ शेतीयोग्य जमीन आहे. नर्मदा खोरे मुख्यत्वे गुजरात आणि मध्य प्रदेशात वसलेले असून नदीजवळील जमीन अतिशय जिरायती आहे.,0.8568456
 शेतकऱ्यांच्या हितासाठी सरकारने सुरू केलेल्या विविध संस्थात्मक सुधारणा कार्यक्रमांची यादी करा.,"शेतकऱ्यांच्या हितासाठी सरकारने सुरू केलेल्या विविध संस्थात्मक सुधारणा कार्यक्रमांची यादी:

1. **राज्य सरकारी सुधारणा कार्यक्रम (RSP)**: 2003 मध्ये सुरू झाल्यानंतर, सरकारने राज्य सरकारी सुधारणा कार्यक्रम शुरू केला, ज्यामध्ये विभाग आणि जिल्हे सरकारी संस्थानांना स्थानिक संस्थानांच्या तंत्र"," सेटलमेंट पॅटर्नवर परिणाम करू शकणाऱ्या इतर घटकांमध्ये हे समाविष्ट आहे: पाण्याची उपलब्धता, जमिनीचा उतार आणि हवामानाचे स्वरूप.",0.9290892
 भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन करा.,"भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या"," भारतात, नर्मदा खोऱ्यातील पठारी प्रदेशात नाभिक वसाहती अनेकदा आढळतात.",0.8809233
 भारत हा जगातील प्रमुख उत्पादक आणि निर्यातदार आहे.,"भारत हा जगातील प्रमुख उत्पादक आणि निर्यातदार देशांपैकी एक आहे आणि त्याचे प्रख्यात पर्यावरण आणि रोजगाराच्या दृष्टीकोनाने प्रमुख स्थान आहे. भारताच्या तापमान आणि वर्षांतील तापमानामुळे त्याचे तापमान आणि तापासाठी देशामधील अनेक राज्ये प्रसिद्ध आहेत, जे पाककृती आणि प्राकृतिक", चहा,0.42861772
 पिवळ्या क्रांतीचा संदर्भ आहे,"पिवळ्या क्रांती ही एक महत्वाची घटना आहे जी इ.स. पूर्व 18 व्या शतकात भारतात झाली. ही घटना भारतीय स्वातंत्र्याच्या साठी महत्वाची होती आणि ती भारतीय स्वतंत्र होती.

पिवळ्या क्रांतीचा उद्देश हे होता कि भारतातील भारतीयांना इ.स. पूर्व 18 व्या शतकातील शासकांना त्यांच्या त्य", तेलबियांचे उत्पादन वाढले.,0.7077913
 तांदूळ उत्पादनात भारताचा जगात कोणता क्रमांक लागतो?,तांदूळ उत्पादनात भारताचा जगात तिसऱ्या क्रमांक लागतो., दुसरा,0.61995226
 भारतातील कोळशाच्या वितरणाचे वर्णन करा.,"भारतातील कोळशाचे वितरण या प्रक्रिया ही एक महत्त्वपूर्ण आणि महत्त्वपूर्ण प्रक्रिया आहे. कोळशाचे वितरण या प्रक्रियेत भारताच्या विभागांमध्ये कोळशाचे वितरण आणि वितरण प्रणाली असते.

कोळशाचे वितरण या प्रक्रियेत भारताच्या विभागांमध्ये कोळशाचे वितरण आणि वितरण प्रणाली अस","भारतात कोळसा दोन मुख्य भूवैज्ञानिक युगांच्या खडक मालिकेमध्ये आढळतो, म्हणजे गोंडवाना, 200 दशलक्ष वर्षांपेक्षा थोडे जास्त आणि फक्त 55 दशलक्ष वर्षे जुने असलेल्या तृतीयक साठ्यांमध्ये. गोंडवाना कोळशाचे प्रमुख स्त्रोत, जे मेटलर्जिकल कोळसा आहेत, दामोदर खोऱ्यात (पश्चिम बंगाल-झारखंड) आहेत. झरिया, राणीगंज, बोकारो ही महत्त्वाची कोळसा क्षेत्रे आहेत. गोदावरी, महानदी, सोन आणि वर्धा खोऱ्यातही कोळशाचे साठे आहेत. मेघालय, आसाम, अरुणाचल प्रदेश आणि नागालँड या ईशान्येकडील राज्यांमध्ये तृतीयक कोळसा आढळतो. झारखंड हे सर्वात मोठे उत्पादक आहे जेथे झरिया, बोकारो, करमपूर, पलामू हे प्रमुख कोळसा क्षेत्र आहेत. पश्चिम बंगालमध्ये राणीगंज, जलपाईगुडी आणि दार्जिलिंग हे कोळसा क्षेत्र आहेत. सरगुजा, बिलासपूर, रायगड आणि बस्तर हे जिल्हे छत्तीसगडमध्ये आढळणारे कोळशाचे क्षेत्र आहेत. चिनावेअर जिल्ह्यात एमपीचे कोळसा क्षेत्र आहे आणि महाराष्ट्रात चांदा हे मुख्य क्षेत्र आहे.",0.976501
 झारखंडचा कोडरमा गया-हजारीबाग पट्टा कोणत्या खनिजांच्या उत्पादनात आघाडीवर आहे?,"झारखंडचा कोडरमा गया-हजारीबाग पट्टा प्राकृत्रिक पृथ्वी पर नील, कोयला, ज्वार, शेल्फ मिट्टी आणि पानी यांसारख्या खनिजांच्या उत्पादनात आघाडीवर आहे.", मीका,0.56743896
भारतातील सर्वात जुने तेल उत्पादक राज्य कोणते आहे?,भारतातील सर्वात जुने तेल उत्पादक राज्य गुजरात आहे., आसाम,0.6560403
 भारतातील सर्वात श्रीमंत खनिज पट्टा ……………… आहे.,भारतातील सर्वात श्रीमंत खनिज पट्टा नार्जीक सिलिकॉन आहे., द्वीपकल्पीय पठार,0.8417304
 शिरा आणि लोड्समधून कोणते खनिजे मिळतात?,शिरा आणि लोड्समधून कोणते खनिजे मिळतात?," कथील, तांबे, जस्त आणि शिसे इत्यादी प्रमुख धातूंची खनिजे शिरा आणि लोड्समधून मिळतात.",0.9222771
 चिपको आंदोलनाचा उद्देश काय होता?,"चिपको आंदोलन (Chipko Movement) हा एक भारतीय आंदोलन होता ज्यामध्ये लोकांनी तात्पुरते कच्चे माल व तांबे जसे कचरे कोणाला चिपकवून घेण्यासाठी यशस्वी झाले. या आंदोलनाच्या प्रमुख उद्देशांमध्ये या आहे:

1. **कचरा वाहतूक मोठाय**: चिपको आंदोलनच्या शुरुवाती तात्पुरते कच्चे माल", वनसंरक्षण,0.55380845
 कोणत्या वन्यजीव संरक्षण कायद्याने प्रथमच वनस्पतींच्या संरक्षित प्रजातींची यादी समाविष्ट केली आहे?,"उत्तर: वनस्पतींच्या संरक्षण कायदा 1980 मध्ये वनस्पतींच्या संरक्षण कायदा लागू करण्यात आला, ज्याने प्रथमच वनस्पतींच्या संरक्षण कायदा यादी समाविष्ट केली.", वन्यजीव संरक्षण कायदा 1972,0.7859508
 तीव्र लीचिंगमुळे कोणती माती तयार होते,उत्तर: तीव्र लीचिंगमुळे तीव्र लीचिंग या माती तयार होते., लॅटराइट माती,0.7359272
 औद्योगिक क्षेत्राचे सार्वजनिक आणि खाजगी क्षेत्रात वर्गीकरण कोणत्या आधारावर केले जाते?,"औद्योगिक क्षेत्राचे सार्वजनिक आणि खाजगी क्षेत्रांमध्ये वर्गीकरण करण्याचा आधार असलेला म्हटल्यानंतर, ते विविध प्रकारच्या आधारावर केले जाते. प्रत्येक क्षेत्राच्या स्वरूपाची निर्धारणा आणि विशेषता निर्धारणासाठी सामान्यतः काही आधारांचा वापर केला जातो.

1. औद्योगिक क्षेत्र (Industrial Sector) आण", उपक्रमांची मालकी,0.7967823
 भारताचे मँचेस्टर म्हणून कोणते शहर ओळखले जाते?,मँचेस्टर भारताच्या पूर्वी सिंध्याचे हे शहर आहे., अहमदाबाद,0.80260456
 भारतात स्टीलचा दरडोई वापर आहे,"भारतात स्टीलचा दरडोई वापर आहे विविध उद्योगांमध्ये. त्याच्या संकल्पना म्हणून तो विविध उद्योगांमध्ये वापरला जातो, जसे की:

1. **डोका**: स्टीलचा दरडोई हा डोकांच्या मांगीसाठी वापरला जातो. स्टीलच्या दरडोन्याची निर्मिती स्टीलमध्ये केली जाते, ज्यामुळे हे डोका बनविण", 2022-23 या वर्षात देशात स्टीलचा वापर 119.89 मेट्रिक टन आणि दरडोई स्टीलचा वापर 86.7 किलो इतका होता.,0.74067307
सिंधू आणि गंगा या नद्यांचा उगम कोठे आहे?,"गंगा नदी उत्तराखंड राज्यात स्थित होती, आणि सिंधू नदी उत्तर प्रदेश राज्यात स्थित होती.", 'भागीरथी' नावाच्या गंगेचे मुख्य पाणी गंगोत्री हिमनदीद्वारे पोसले जाते आणि उत्तरांचलमधील देवप्रयाग येथे अलकनंदाने जोडले जाते. हरिद्वार येथे गंगा डोंगरातून मैदानात येते. सिंधू बाल्टिस्तान आणि गिलगिटमधून वाहते आणि अटॉक येथील पर्वतांमधून बाहेर पडते.,0.88552487
 कोणत्या दोन द्वीपकल्पीय नद्या कुंडातून वाहतात?,उत्तर: कुंड," नर्मदा आणि तापी या दोन द्वीपकल्पीय नद्या आहेत, ज्या कुंडातून वाहतात.",0.5807967
 आजचे कोणते खंड गोंडवाना भूमीचा भाग होते?,"गोंडवाना भूमीचा भाग आंध्र प्रदेश राज्यात असून, हे खंडगोंडवाना खंडाच्या भागांपैकी एक आहे."," सर्वात जुना भूभाग, (द्वीपकल्प भाग), गोंडवाना भूमीचा एक भाग होता. गोंडवाना भूमीत भारत, ऑस्ट्रेलिया, दक्षिण आफ्रिका आणि दक्षिण अमेरिका यांचा समावेश होतो.",0.9371727
 कोणते दोन देश सर्वात लांब आंतरराष्ट्रीय सीमा सामायिक करतात?,उत्तर:  संयुक्त राज्य अमेरिका आणि क्रिसमास (नीदरलँड), कॅनडा आणि युनायटेड स्टेट्स,0.88761497
 जगातील सर्वात दाट लोकवस्तीचे शहर कोणते आहे?,जगातील सर्वात दाट लोकवस्तीचे शहर मिस्र आहे," मनिला, फिलीपिन्स",0.7303908
 खालीलपैकी कोणते राज्य भारतात कॉफीचे सर्वात जास्त उत्पादक आहे?,उत्तर: पुडुचेरी राज्य भारतात कॉफीचे सर्वात जास्त उत्पादक आहे,कर्नाटक,0.7566608
 सिरोही पॉइंट पृथ्वीवर कोठे आहे?,"सिरोही पॉइंट पृथ्वीवर हिंदू मंदिर आणि सांस्कृतिक केंद्र आहे जे मंदिर, गोआ, सिम्ला, सोलाकाम, पोर्टलुंबू आणि त्रिपुरातून दूरी ४०० किलोमीटर किंवा चालू असून प्रशांत महाद्वीपाच्या पूर्वी स्थित आहे.", अंटार्टिका,0.65047187
 भारतातील सर्वात मोठी अंतर्देशीय क्षारयुक्त पाणथळ व्यवस्था कोणत्या राज्यात आहे?,उत्तर: भारतात सर्वात मोठी अंतर्देशीय क्षारयुक्त पाणथळ व्यवस्था मध्यप्रदेश राज्यात आहे, राजस्थान,0.7169087
 भारताच्या एकूण क्षेत्रफळाच्या किती टक्के भूभाग गंगा नदीने व्यापला आहे?,उत्तर: भारताच्या एकूण क्षेत्रफळाच्या 28% भाग गंगा नदीने व्यापला आहे.,26.30%,0.13831729
 अलकनंदा नदीचा उगम कोणत्या हिमनदीतून झाला आहे?,"अलकनंदा नदीचा उगम सुमारे ३००० मीटर पासून काळजी घालणारे राष्ट्रीय प्रवाह, अलकनंदा हे एक प्रमुख प्रमुख नदी आहे जो भारतातून मालपुर, उत्तराखंड राज्यातून निर्माण झालेला आहे.

अलकनंदा नदी गंगा नदीच्या मुख्य प्रवाहाची एक छोटी नदी आहे आणि आपल्याला काळजी घालणारे राष्ट्रीय प्रव", सतोपंथ हिमनदी,0.73381686
 कोणती नदी वुलर सरोवराला पाणी देते?,उत्तर : वुलर सरोवर ही लंदन येथे पाणी देते., झेलम,0.41348958
 व्हीलर आयलंड हे कोणत्या बेटाचे पूर्वीचे नाव होते?,व्हीलर आयलंड हे न्यू इंग्लंडच्या बेटाचे नाव होते., व्हीलर बेट हे अब्दुल कलाम बेटाचे पूर्वीचे नाव होते. हे ओडिशाच्या किनारपट्टीवर स्थित आहे. संरक्षण संशोधन आणि विकास संस्थेची (DRDO) एकात्मिक चाचणी श्रेणी या बेटावर आहे.,0.8634585
 काश्मीर हरिण आढळणारे एकमेव अभयारण्य कोणते आहे?,उत्तर: काश्मीर हरिण आढळणारे एकमेव अभयारण्य नागपूर आहे, दाचीगाम नॅशनल पार्क हे एकमेव अभयारण्य आहे जिथे काश्मीर हरिण आढळते. हे काश्मीरमध्ये वसलेले आहे.,0.88921887
 बायोस्फीअर रिझर्व्ह प्रोग्राम भारतात कोणत्या वर्षी सुरू करण्यात आला?,बायोस्फीअर रिझर्व्ह प्रोग्राम 1961 वर्षी सुरू करण्यात आला.,बायोस्फीअर रिझर्व्ह प्रोग्राम भारतात 1986 साली सुरू करण्यात आला. भारतात एकूण 18 बायोस्फीअर रिझर्व्ह आहेत.,0.90172035
 कोणत्या प्रकारच्या खडकामध्ये जीवाश्म आढळतात?,"जीवाश्मांच्या प्रकारांमध्ये, असाची खडके वेगवेगळ्या प्रकारच्या प्रकारच्या प्रकारच्या प्रकारच्या पावसाच्या कारणानुसार विकसित होतात."," जीवाश्म विशेषत: गाळाच्या खडकांमध्ये तयार होतात. जेव्हा एखादा जीव मरण पावतो आणि गाळात गाडला जातो, तेव्हा हे गाळ शेवटी गाळाच्या खडकात घट्ट होतात आणि जीव जीवाश्म म्हणून जतन केला जातो. या प्रक्रियेला फॉसिलायझेशन म्हणतात. अग्निजन्य आणि रूपांतरित खडक उष्णता किंवा दाबाने तयार होतात आणि जीवाश्म नष्ट होण्याची शक्यता असते.",0.9136715
" ""औषध रेखा"" हे अक्षांश वर्तुळाचे दुसरे नाव आहे?",औषध रेखा हे वायुमंडलीय शृंखलेच्या तिसरे नाव आहे.," 49 व्या समांतरला 1800 च्या मोहिमेदरम्यान यूएस सैनिकांना ते ओलांडण्यापासून रोखण्याच्या जादुई क्षमतेमुळे मेडिसिन लाइन असे टोपणनाव देण्यात आले. 49 वा समांतर उत्तर युरोप, आशिया, पॅसिफिक महासागर, उत्तर अमेरिका आणि अटलांटिक महासागर ओलांडते.",0.8032204
 चंद्रभागा या नावाने ओळखली जाणारी चिनाब नदी चंद्रा आणि भागा नद्यांच्या विलीनीकरणाने कोणत्या ठिकाणाजवळ येते?,चंद्रभागा या नावाने ओळखली जाणारी चिनाब नदी आणि नावाने ओळखली जाणारी भागा नद्यांच्या विलीनीकरणाने वायुमंडलाचे निम्न प्रदेश आणि मध्य प्रदेश आहे.,"हिमाचल प्रदेशातील लाहौल स्पिती जिल्ह्यातील तांडी येथे चंद्रा आणि भागा नद्यांच्या विलीनीकरणामुळे चिनाब नदी, ज्याला चंद्रभागा नदी देखील म्हटले जाते. चंद्रा आणि भागा नद्या 4,891 मीटर उंचीवर बारालचा खिंडीच्या विरुद्ध बाजूंनी उगम पावतात. ते तांडी येथे 2,286 मीटर उंचीवर भेटतात.",0.89595395
 कोणत्या ग्रहाची दिवसाची लांबी आहे आणि त्याच्या अक्षाचा झुकता पृथ्वीच्या ग्रहासारखाच आहे?,उत्तर: किरण, मंगळ,0.44652447
 जगातील सर्वात मोठा बेट देश कोणता आहे?,उत्तर: जगात सर्वात मोठा देश द्वीप स्ट्रिटल या देशांचा आहे.," इंडोनेशिया हा जगातील सर्वात मोठा बेट देश आहे कारण त्याचे क्षेत्रफळ 1,904,569 चौरस किमी आहे आणि त्यात 18,307 पेक्षा जास्त बेटे आहेत. हा जगातील सर्वाधिक लोकसंख्या असलेला बेट देश देखील आहे.",0.8719869
 मोठ्या नदीच्या उपनद्या असलेल्या खोऱ्यांना काय म्हणतात?,"मोठ्या नदीच्या उपनद्या असलेल्या खोऱ्यांना ""कोकम"" म्हणतात.", साइड व्हॅली ही एका मोठ्या नदीला उपनदी असलेली दरी आहे. त्या पर्वतांजवळच्या उच्च क्रमाच्या खोऱ्या आहेत.,0.9546467
" ""माबला पर्वत"" कोणत्या देशात आहेत?",उत्तर:  माबला पर्वत मालदीवच्या तुलनेत केला पर्वत.,"माबला पर्वत, मॉन्टी माबला या नावानेही ओळखले जाते, ही जिबूतीच्या ओबॉक आणि ताडजौरा प्रदेशात स्थित एक पर्वतश्रेणी आहे. जिबूतीमधील पाचव्या-उंच बिंदू असलेल्या या पर्वतांमध्ये स्थानिक जिबूती स्परफॉल आणि डे फॉरेस्ट नॅशनल पार्क आहे. हा उंच प्रदेश ताडजौराच्या आखाताच्या उत्तरेला, किनारी मैदानाच्या मागे आहे जेथे लाल समुद्र एडनच्या आखाताला भेटतो.",0.8742304
 सर्वात जुने वृक्षारोपण कोठे झाले?,"सर्वात जुने वृक्षारोपण व्यापक रूप से विश्वभरात केले जात आहे आणि त्याच्या इतिहासावर अवलंबून आहे. प्रत्येक क्षेत्रातील लोकांनी वृक्षारोपणाचा त्यांचे आपल्या जीवन आणि गुणवाने समृद्धी स्वीकारला आहे.

मध्ये सर्वात जुने वृक्षारोपणांची माहिती दिले जाते:

1. मालदीव (विश", आफ्रिकेतील गिनी किनाऱ्यावरील बेटांवरील 15 व्या शतकातील आस्थापनांची सर्वात जुनी लागवड आहे. पोर्तुगीजांनी ऊस उत्पादनासाठी ही यंत्रणा येथून उत्तर ब्राझीलमध्ये नेली.,0.9463415
शनिवार वाड्याच्या बांधकामाचा खर्च किती होता?,"शनिवार वाड्या बांधकामाचे खर्च विविध आहे जसे की:

1. **प्रक्रिया सुरु करणे**: त्या दौरान जे खर्च असतात ते हे आहे:

*   **प्रक्रिया सुरु करणे**: प्रक्रिया सुरु करणे (प्रक्रिया शुल्क, काम करणे प्रक्रिया शुल्क, प्रक्रिया शुल्क) -  20,000 - 50,000 रुपये
2. **बांधकामाचे खर्च","शनिवार वाड्याच्या बांधकामाचा खर्च १६,११० रुपये होता, जो त्या काळाच्या दृष्टीने खूप मोठी रक्कम होती.",0.8554319
छत्रपती शाहू महाराजांची राजवट कधी सुरू झाली आणि कधी संपली?,छत्रपती शाहू महाराजांची राजवट 1592 मध्ये सुरू झाली आणि 1680 मध्ये संपली.,छत्रपती शाहू महाराजांची राजवट 1708 ते 1749 या कालावधीत होती.,0.9311438
बहमनी सल्तनत कोणी स्थापन केली?,"बहमनी सल्तनत म्हणजे भारतीय राजवंशाच्या एक प्रभावशाली संस्था होती, जी 13व्या शतकात स्थापन केली गुजरात (ज्यामध्ये द्रविड (डैवम) हे राजा होते).",मूळच्या बदखशान येथील ताजिक वंशात जन्मलेल्या अल्ला‍उद्दीन हसन बहामनी उर्फ हसनगंगू याने इ. स. १३४७ साली ही सल्तनत स्थापली.,0.9544546
गड आला पण सिन्हा गेला कोण कोनाला म्हंटले?,म्हंटले,"शिवाजी महाराजांना जेव्हा कळले की तानाजी मालुसरे या युद्धात कामी आला तेव्हा महाराजांना याचे अतिव दुःख झाले. व शिवरायांच्या तोंडातून वाक्य बाहेर पडले साचा:''गड आला पण सिंह गेला'',आणि सिंहगड हे नाव आधीपासून नव्हते.",0.48326975
हेमाडपंती मंदिरांच्या बाह्य भिंतींचे वैशिष्ट्य काय असते?,"हेमाडपंती मंदिरांना बाह्य भिंतींच्या वैशिष्ट्यांमध्ये स्थानिक शिलालेख, वास्तुकला आणि कलाकारांची मूर्तींची प्रतिमांची संख्या आणि पद्धती आहे.

हेमाडपंती मंदिरांमध्ये स्थानिक शिलालेख हे त्यांचे मूर्तींच्या पूर्णत्वाच्या प्रतीक आहे ज्याच्या निमित्ताने त्यांना एक","हेमाडपंती मंदिराच्या बाह्य भिंती बऱ्याचदा
तारकाकृती असतात. तारकाकृती मंदिराच्या
बांधणीत मंदिराची बाह्य भिंत अनेक कोनांमध्ये
विभागली जाते. त्यामुळे त्या भिंती आणि
त्यावरील शिल्पे यांच्यावर छायाप्रकाशाचा सुंदर
परिणाम पाहण्यास मिळतो. हेमाडपंती मंदिरांचे
महत्त्वाचे वैशिष्ट्य म्हणजे भिंतीचे दगड
सांधण्यासाठी चुना वापरलेला नसतो.
दगडांमध्येच एकमेकांत घट्ट बसतील अशा
कातलेल्या खोबणी आणि कुसू यांच्या आधाराने
भिंत उभारली जाते",0.9897847
किताब-ए-नवरस' हा ग्रंथ कोणी लिहिला?,किताब-ए-नवरस या ग्रंथाचा लिहिलेला सारांश असे आहे की प्रत्येक वर्ष केवळ कृष्ण महिन्यानंतरच्या नवरसाच्या पूर्वार्धातील 15 दिवसांच्या काळात पंचमा दिवसांतील दुर्गा पूजा केला जातो.,"विजापूरचा सुलतान इब्राहिम आदिलशाह
दुसरा याने दक्‍खिनी उर्दू भाषेत ‘किताब-एनवरस’ हा ग्रंथ लिहिला",0.94672304
‘दर्पण’ या पहिल्या मराठी पत्राचे संपादक कोण होते?,दर्पण या पहिल्या मराठी पत्राचे संपादक मोझी देश्मीवर्णक होते.,‘दर्पण’ या पहिल्या मराठी पत्राचे संपादक या नात्याने बाळशास्त्री जांभेकरांना आद्यसंपादक म्हटले जाते.,0.9497872
"भारत सरकारने 1950 मध्ये कोणत्या मंडळाची स्थापना केली होती 
ज्यामध्ये पंतप्रधान पं. जवाहरलाल नेहरू चेअरमन होते?",भारत सरकारने 1950 मध्ये स्थापना केली होती ज्यामध्ये पंतप्रधान पं. जवाहरलाल नेहरू चेअरमन होते.,"१९५० मध्ये भारत सरकारने नियोजन मंडळाची
स्थापना केली. प्रधानमंत्री पं.जवाहरलाल नेहरू हे या
मंडळाचे अध्यक्ष होते.",0.964141
राजकारणावरील 'सभानीती' हे पुस्तक कोणत्या शासकाने प्रकाशित केले?,सभानीती हे पुस्तक 'कृष्णाचे साम्राज्य' (Swayamvara of Krishna) की प्रकाशनाचे शासक 'कृष्णाचे शिष्य' (Svāyamvara of Krishna) 'कृष्णाचे शिष्य' (Svāyamvara of Krishna) किंवा 'कृष्णाचे शिष्य' (Svāyamvara of Krishna) किंवा 'कृष्णाचे शिष्य' किंवा 'कृष्णाचे शिष्य' हे शासक 'कृष्णाचे शिष्य' (Sv,"सभानीती' हे पुस्तक छत्रपती प्रतापसिंग महाराजांनी प्रकाशित केले आहे. हे पुस्तक राजकारण, प्रशासन, आणि सत्तेशी संबंधित विचारांच्या संदर्भात महत्त्वाचे मानले जाते.




",0.7738495
1905 मध्ये 'भारत सेवक समाज' कोणी स्थापन केला?,1905 मध्ये 'भारत सेवक समाज' स्थापन केले जे विस्तारित मार्कसवाद आणि सिसर्वकवादी विचारांचे संकेत म्हणून ओळखले जाते.,नामदार गोपाळ कृष्ण गोखले यांनी १९०५ मध्ये ‘भारत सेवक समाजा’ची स्थापना केली.,0.6430439
सावरकरांच्या आत्मचरित्राचे नाव काय होते?,सावरकरांचे आत्मचरित्र हे 'सावरकरा या देशातील ब्रिटिश शासनामुळे शासित होते किंवा शासित केल्यापूर्वी किंवा स्वतःच्या शासनामुळे स्थापित केलेले किंवा ते स्वतःच्या शासनामुळे स्थापित केलेले होते., ‘माझी जन्मठेप’ या आत्मचरित्रात सावरकरांनी अंदमानातील त्या भयकंर दिवसांचे अनुभव लिहून ठेवले आहेत. ,0.9366995
अमळनेर गिरणी कामगार युनियनचे अध्यक्ष कोण होते?,अमळनेर गिरणी कामगार युनियनचे अध्यक्ष डॉ. प्रमोद पाटील होते.,साने गुरुजी अमळनेर येथील गिरणी कामगार संघटनेचे अध्यक्ष होते.,0.9684397
राजकोट येथे रेडक्रॉस सोसायटीची स्थापना कोण केली?,राजकोट येथे रेडक्रॉस सोसायटीची स्थापना पॉल क्रिस्टल रेडक्रॉस सोसायटी (Polycross) द्वारे केली गेली होती.,रखमाबाई जनार्दन सावे यांनी राजकोट येथे रेडक्रॉस सोसायटीची स्थापना केली.,0.8965927
आयटकच्या पहिल्या अधिवेशनाचे अध्यक्ष कोण होते?,उत्तर: आयटलचा पहिला अधिवेशन 1931 मध्ये आयात केले गेले होते.,भारतातील सर्व कामगारांना राष्ट्रीय स्तरावर एकत्र करण्यासाठी AITUC ची स्थापना करण्यात आली. लाला लजपत राय हे पहिल्या सत्राचे अध्यक्ष होते.,0.7964887
हंगामी सरकारचे प्रमुख कोण होते?,हंगामी सरकारचे प्रमुख म्हणजे व्हिक्टर व्हेर्बर.,मुक्त भारताच्या हंगामी सरकारमध्ये राज्याचे प्रमुख म्हणून सुभाषचंद्र बोस यांच्या नेतृत्वाखालील मंत्रिमंडळाचा समावेश होता.,0.8242552
भारत व पाकिस्तान या दोन स्वतंत्र राष्ट्रांची निर्मिती करण्याची योजना कोणी तयार केली?,भारत व पाकिस्तान या दोन स्वतंत्र राष्ट्रांची निर्मिती या योजना स्कॉटिश लॉर्ड ह्यून्सी यांनी तयार केली होती.,लॉर्ड माउंटबॅटन यांनी भारत आणि पाकिस्तान या दोन स्वतंत्र राष्ट्रांच्या निर्मितीची योजना तयार केली.,0.9716251
१ मे १९६० रोजी कोणत्या राज्याची निर्मिती झाली?,उत्तर: १ मे १९६० रोजी गुजरात राज्याची निर्मिती झाली.,१ मे १९६० रोजी महाराष्ट्राची निर्मिती झाली.,0.95440495
पुण्यातील कोणत्या गांधी स्मारक संग्रहालयात गांधीजींच्या इतिहासाविषयी माहिती मिळते?,पुण्यात मुंबई स्टेशनरी स्मारकांचे गांधीजींच्या इतिहासाविषयी माहिती मिळते,"गांधी मेमोरियल सोसायटीचे आगाखान पॅलेस हे इटालियन आर्चेस व लॉन आहे. ब्रिटीशांनी या जागेचा उपयोग महात्मा गांधी, कस्तुरबा गांधी व महादेवभाई देसाई यांचेसाठी भारत झोडो आंदोलनात तुरुंग म्हणुन केला होता.",0.8942372
"
इ.स. १४५३ मध्ये ऑटोमन तुर्कांनी कोणते शहर जिंकून घेतले?",इ.स. १४५३ मध्ये ऑटोमन तुर्कांनी बागदारहा शहर जिंकून घेतले,"
कॉन्स्टँटिनोपल (आधुनिक इस्तंबूल) शहर 1453 मध्ये ऑट्टोमन तुर्कांनी जिंकले होते.",0.8756112
इंग्रजांच्या बेकायदेशीर व्यापाराला आळा घालण्याचा प्रयत्न कोणाने केला?,उत्तर:  इंग्रजांनी 18 व्या शतकात भारताला मुक्त करण्यासाठी आणि स्वतःच्या व्यापारासाठी त्यांना आळा घालवून देण्याचा प्रयत्न केला,मीर जफर इंग्रजांच्या पाठिंब्याने बंगालचा नवाब बनला पण नंतर त्याने इंग्रजांचा विरोध सुरू केला आणि म्हणून त्याचा जावई मीर कासिम याला नवाब बनवण्यात आले. मीर कासिमने इंग्रजांच्या अवैध व्यापारावर निर्बंध घालण्याचा प्रयत्न केला आणि म्हणून मीर जफरला पुन्हा बंगालचा नवाब बनवण्यात आले.,0.8745936
